X,Y,Cluster,Region,City,Partner,Lon,Lat,Population,Strata,Salary,Ranking,SB Trade Z,Target Pen,Target P_1,Actual Pen,Ttl,IL+FS,DT,FC,St,Op,Lt,SB,Ttl g,St g,Op g,SB g,KFC Av Sal,EBITDA H12,ViT,BK,icon_url
32.414306,67.156727,NW,Мурманская область,Кандалакша,AmRest,32.414306000000003,67.156727000000004,30 575,30 - 60,52 085,high,High Density Residential,60 000,30 575,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
43.472351,56.644822,Volga,Нижегородская область,Городец,AmRest,43.472351000000003,56.644821999999998,29 854,меньше 30,29 780,ok,Low Density Residential,100 000,29 854,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
30.601676,64.589056,NW,Карелия республика,Костомукша,AmRest,30.601676000000001,64.589055999999999,29 367,меньше 30,57 867,high,High Density Residential,60 000,29 367,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
39.6221,46.55695,South,Краснодарский край,Кущёвская станица,AmRest,39.622100000000003,46.556950000000001,28 362,меньше 30,"0",Нет рейтинга,Roadside,,28 362,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
31.355506,57.990767,NW,Новгородская область,Старая Русса,AmRest,31.355505999999998,57.990766999999998,28 043,меньше 30,34 561,ok,Low Density Residential,100 000,28 043,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
34.312617,63.743701,NW,Карелия республика,Сегежа,AmRest,34.312617000000003,63.743701000000001,26 241,меньше 30,38 819,good,Low Density Residential,80 000,26 241,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
33.663674,67.615114,NW,Мурманская область,Кировск (Мурманская обл),AmRest,33.663674000000000,67.615114000000005,26 206,меньше 30,69 874,high,Low Density Residential,60 000,26 206,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
38.561747,44.836248,South,Краснодарский край,пгт. Ильский,AmRest,38.561746999999997,44.836247999999998,25 981,меньше 30,"0",Нет рейтинга,"0",,25 981,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
30.798766,59.772605,NW,Ленинградская область,Отрадное,AmRest,30.798766000000001,59.772604999999999,25 623,меньше 30,49 362,good,Low Density Residential,80 000,25 623,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
53.006872,67.638067,NW,Ненецкий Автономный Округ,Нарьян-Мар,AmRest,53.006872000000001,67.638067000000007,24 827,меньше 30,77 248,very high,Low Density Residential,40 000,24 827,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
30.393483,59.621609,NW,Ленинградская область,Коммунар,AmRest,30.393483000000000,59.621608999999999,22 522,меньше 30,43 057,good,Low Density Residential,80 000,22 522,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
30.787448,59.704306,NW,Ленинградская область,Никольское,AmRest,30.787448000000001,59.704306000000003,22 490,меньше 30,44 436,good,Low Density Residential,80 000,22 490,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
39.531981,44.412303,South,Краснодарский край,Хадыженск,AmRest,39.531981000000002,44.412303000000001,22 315,меньше 30,27 223,good,Low Density Residential,80 000,22 315,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
38.841123,44.903348,South,Краснодарский край,пгт. Афипский,AmRest,38.841123000000003,44.903348000000001,22 154,меньше 30,"0",Нет рейтинга,"0",,22 154,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
